user,text,favorite_count,retweet_count,created_at
World_Wildlife,"Today, we’re celebrating the vital and diverse work of rangers worldwide! Rangers are essential planetary healthcare workers, but their various jobs can be challenging and dangerous: https://t.co/UMky51miV4. #WorldRangerDay https://t.co/fsjqOwTLbX",50,10,Mon Jul 31 15:30:08 +0000 2023
World_Wildlife,RT @WWFnews: Climate change &amp; nature loss are intertwined. A big challenge to solving both is financing. This op-ed in @wef by leaders from…,0,9,Mon Jul 31 13:41:37 +0000 2023
World_Wildlife,"It’s #GlobalTigerDay! Bhutan just announced its tiger population has increased by 27% from the last survey in 2015! This is great news for tigers in South Asia, where wild populations are recovering.  Learn more: https://t.co/Bzb9441Bxt. https://t.co/cIr32UvHeo",295,70,Sat Jul 29 12:45:31 +0000 2023
World_Wildlife,"Human pressures on mangrove ecosystems can be exacerbated by the ever-looming threat of climate change, leaving people with few income options. WWF’s Emily Forinash reflects on her time in Madagascar supporting mangrove restoration and adaptation planning: https://t.co/dTLzJbFken https://t.co/KZ2Io2nmuH",49,27,Thu Jul 27 15:29:05 +0000 2023
World_Wildlife,"RT @WWFscience: Although the oceans contain 10,000 times greater volume of water, freshwater systems produce more than 40% of all fish cons…",0,11,Wed Jul 26 19:40:21 +0000 2023
World_Wildlife,It’s #WorldMangroveDay! Mangroves' strong and complex root systems protect coastal communities and landscapes from extreme weather events like hurricanes. https://t.co/EyCPqI5zyi,96,35,Wed Jul 26 16:00:20 +0000 2023
World_Wildlife,"Today we’re launching ManglarIA, a new initiative supported by @Googleorg that will help us use advanced technology, including AI, to understand how mangrove ecosystems are impacted by climate change. #WorldMangroveDay https://t.co/YSR1XJZA8Q",56,24,Wed Jul 26 14:13:03 +0000 2023
World_Wildlife,"RT @WWFBetterBiz: On #WorldMangroveDay, WWF is launching ManglarIA, a new initiative supported by @Googleorg that will help us use advanced…",0,10,Wed Jul 26 14:11:38 +0000 2023
World_Wildlife,"RT @WWFnews: Today marks the 1-year anniversary of WWF’s podcast, Nature Breaking. Follow along for a 🧵about some of our favorite highlight…",0,5,Wed Jul 26 14:07:52 +0000 2023
World_Wildlife,"RT @WWFBetterBiz: Together with @HP and local partners like @REGUABrasil, we’re helping restore critical landscapes across the Atlantic For…",0,7,Tue Jul 25 22:10:58 +0000 2023
World_Wildlife,"How can eating seaweed fight climate change, improve water quality, and support jobs in coastal communities? Find out in this week’s episode of the Nature Breaking podcast: https://t.co/0tcF9UZieX. https://t.co/0TB7PoOSxa",26,16,Tue Jul 25 15:35:16 +0000 2023
World_Wildlife,"RT @WWFscience: In the lead-up to global biodiversity and climate meetings, @World_Wildlife's @NathanJBennett and colleagues call on policy…",0,11,Tue Jul 25 14:03:56 +0000 2023
World_Wildlife,RT @wwf_act: ‼️ DEADLINE APPROACHING: WWF is seeking to recognize young conservationists who are making outstanding strides for protecting…,0,11,Tue Jul 25 13:55:06 +0000 2023
World_Wildlife,"RT @WWF: Twitter's iconic bird isn't the only one disappearing.

👉 Today, one in eight bird species are at risk of extinction.

But we can…",0,3366,Mon Jul 24 20:35:07 +0000 2023
World_Wildlife,RT @JasonWClay: WWF partnered with @MarsGlobal earlier this year to create the Fisheries Improvement Fund to support healthy marine ecosyst…,0,7,Mon Jul 24 18:52:28 +0000 2023
World_Wildlife,"RT @WWFBetterBiz: As a biennial Food Systems Stocktaking Moment begins today in Rome, the @WWFInstitute wanted to understand how some of th…",0,16,Mon Jul 24 18:40:43 +0000 2023
World_Wildlife,"RT @WWFscience: Want to learn more about environmental advocacy? Are you interested in getting involved in community-based conservation, bu…",0,9,Mon Jul 24 16:07:42 +0000 2023
World_Wildlife,"Mangroves guard coastlines all over the world, recycle pollutants, maintain water quality, and provide habitat and a secure source of food for wildlife and people. These trees can store carbon for hundreds of years, making them among the most carbon-rich habitats on Earth. https://t.co/JhooqmzRgm",190,90,Mon Jul 24 15:17:03 +0000 2023
World_Wildlife,"WWF’s sustainable travel partner, @NatHab, has just released a short film called The Silverback, which follows safari guide Richard De Gouveia as he shares his motivation and passion for his work. Watch now: https://t.co/JuIF5fDVi6. https://t.co/gdvMn0lWtP",48,49,Fri Jul 21 16:07:39 +0000 2023
World_Wildlife,RT @WWFscience: Climate change is the fuel behind recent extreme weather events. As @stephanieroe points out in today’s episode of Nature B…,0,23,Thu Jul 20 17:49:40 +0000 2023
